category,subject
tax,selamat pembayaran tagihan pbb anda berhasil
health_insurance,selamat pembayaran kesehatan anda berhasil
public_utilities,selamat pembayaran tagihan air anda berhasil
health_insurance,selamat pembayaran kesehatan anda berhasil
credit_card,selamat pembayaran tagihan kartu kredit anda berhasil
public_utilities,selamat pembayaran tagihan air anda berhasil
shopping,pembayaran untuk order  telah kami terima
health_insurance,selamat pembayaran kesehatan anda berhasil
credit_card,selamat pembayaran tagihan kartu kredit anda berhasil
public_utilities,selamat pembayaran tagihan air anda berhasil
health_insurance,selamat pembayaran kesehatan anda berhasil
public_utilities,selamat pembayaran tagihan air anda berhasil
comm_internet,selamat pembayaran tagihan pascabayar anda berhasil
shopping,konfirmasi pembayaran atas pesanan 
shopping,pembayaran tiket penerbangan berhasil invoice id 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,pembayaran tiket penerbangan berhasil invoice id 
shopping,pembayaran untuk order  telah kami terima
shopping,pembayaran tiket penerbangan berhasil invoice id 
shopping,pembayaran untuk order  telah kami terima
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,airy pembayaran anda berhasil  no pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,pembayaran tokocash anda pada tanggal telah kami batalkan
shopping,pembayaran klikbca anda pada tanggal  telah kami batalkan
credit_card,pembayaran kartu kredit sukses 
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
shopping,pembayaran pesanan  di bhinnekacom
shopping,konfirmasi pembayaran atas pesanan 
shopping,konfirmasi pembayaran atas pesanan 
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
tax,"selamat pembayaran tagihan pbb anda berhasil	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
shopping,"konfirmasi penerimaan pembayaran	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
shopping,"pembayaran	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
shopping,"pembayaran pesanan 775455088728618 telah kami terima	"
loan,"selamat pembayaran layanan finansial mandiri utama finance anda berhasil	"
shopping,"pembayaran pesanan 758257063328618 telah kami terima	"
shopping,"pembayaran pesanan 756933436128618 telah kami terima	"
shopping,"pembayaran pesanan 759890146828618 telah kami terima	"
shopping,"pembayaran pesanan 748157352728618 telah kami terima	"
shopping,"pembayaran pesanan 742026895628618 telah kami terima	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"konfirmasi pembayaran tagihan indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
comm_internet,"reminding pembayaran indihome	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"bukti pembayaran transaksi pt kai persero stf3s8m	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"pembayaran 10143754700001	"
shopping,"bukti pembayaran transaksi pt kai persero zkm3rp9	"
shopping,"bukti pembayaran transaksi pt kai persero byr38zv	"
shopping,"bukti pembayaran transaksi pt kai persero wcj3r9n	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
health_insurance,"selamat pembayaran bpjs kesehatan anda berhasil	"
shopping,"bukti pembayaran transaksi pt kai persero br0393e	"
shopping,"bukti pembayaran transaksi pt kai persero 4bj3b9f	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"bukti pembayaran transaksi pt kai persero wap20dr	"
shopping,"pembayaran kamu telah diterima 348728131728618	"
shopping,"bukti pembayaran transaksi pt kai persero 492269n	"
shopping,"bukti pembayaran transaksi pt kai persero n7q2t35	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"pembayaran pesanan berhasil diverifikasi 310309078328618	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"pembayaran pesanan berhasil diverifikasi 305131064928618	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"pembayaran pesanan berhasil diverifikasi 296378007228618	"
shopping,"pembayaran pesanan berhasil diverifikasi 291546003128618	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"konfirmasi pembayaran atas pesanan 190530221318e3g  lainnya	"
shopping,"pembayaran pesanan berhasil diverifikasi 274387512328618	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"pembayaran pesanan berhasil diverifikasi 270442953828618	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"re pembayaran semester 2	"
shopping,"fwd pembayaran semester 2	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
loan,"selamat pembayaran layanan finansial suzuki finance indonesia anda berhasil	"
shopping,"pembayaran semester 2	"
shopping,"pembayaran pesanan berhasil diverifikasi 230630480428618	"
shopping,"pembayaran sukses  maries oil colour 21ml  bukalapak	"
shopping,"terima kasih atas pembayaran anda  periplus online bookstore  251891	"
shopping,"bukti pembayaran transaksi pt kai persero 33raj5	"
shopping,"bukti pembayaran transaksi pt kai persero tevphp	"
shopping,"bukti pembayaran transaksi pt kai persero 4a1k6w	"
shopping,"bukti pembayaran transaksi pt kai persero mqfl5g	"
shopping,"bukti pembayaran transaksi pt kai persero 42bu8m	"
shopping,"bukti pembayaran transaksi pt kai persero uq1532	"
shopping,"bukti pembayaran transaksi pt kai persero mhj3dq	"
shopping,"bukti pembayaran transaksi pt kai persero cd7zh7	"
shopping,"bukti pembayaran transaksi pt kai persero 4atfu2	"
shopping,"bukti pembayaran transaksi pt kai persero qwmdsp	"
shopping,"bukti pembayaran transaksi pt kai persero ppprve	"
shopping,"bukti pembayaran transaksi pt kai persero c4f9vy	"
shopping,"bukti pembayaran transaksi pt kai persero 1ffqyl	"
shopping,"bukti pembayaran transaksi pt kai persero fwm7br	"
shopping,"bukti pembayaran transaksi pt kai persero xxwj36	"
shopping,"bukti pembayaran transaksi pt kai persero p7bvhb	"
shopping,"bukti pembayaran transaksi pt kai persero rqckyt	"
shopping,"bukti pembayaran transaksi pt kai persero rurfne	"
shopping,"bukti pembayaran transaksi pt kai persero z3blmj	"
shopping,"bukti pembayaran transaksi pt kai persero vxv7ub	"
shopping,"bukti pembayaran transaksi pt kai persero xsh3vg	"
shopping,"bukti pembayaran transaksi pt kai persero xabwum	"
shopping,"bukti pembayaran transaksi pt kai persero qw27tq	"
shopping,"bukti pembayaran transaksi pt kai persero 8vvhky	"
shopping,"bukti pembayaran transaksi pt kai persero 8ehnjt	"
shopping,"bukti pembayaran transaksi pt kai persero urrswc	"
shopping,"bukti pembayaran transaksi pt kai persero x5jee3	"
shopping,"bukti pembayaran transaksi pt kai persero dzt3ns	"
shopping,"bukti pembayaran transaksi pt kai persero ahqq6d	"
shopping,"bukti pembayaran transaksi pt kai persero rpp2hb	"
shopping,"traveloka petunjuk pembayaran etiket  no pesanan 49764174	"
shopping,"fwd bukti pembayaran transaksi pt kai persero 9avbav	"
shopping,"traveloka petunjuk pembayaran etiket  no pesanan 49456402	"
shopping,"bukti pembayaran transaksi pt kai persero c2ud2v	"
shopping,"bukti pembayaran transaksi pt kai persero 35kjst	"
shopping,"bukti pembayaran transaksi pt kai persero 2wwy23	"
shopping,"bukti pembayaran transaksi pt kai persero 6k6l6s	"
shopping,"bukti pembayaran transaksi pt kai persero dcrg6b	"
shopping,"bukti pembayaran transaksi pt kai persero kl34n3	"
shopping,"bukti pembayaran transaksi pt kai persero lbntc7	"
shopping,"bukti pembayaran transaksi pt kai persero gmy9uf	"
shopping,"bukti pembayaran transaksi pt kai persero ujk9ku	"
shopping,"bukti pembayaran transaksi pt kai persero bnzs61	"
shopping,"bukti pembayaran transaksi pt kai persero xdp9ch	"
shopping,"bukti pembayaran transaksi pt kai persero 6gskww	"
shopping,"bukti pembayaran transaksi pt kai persero aet3r1	"
shopping,"bukti pembayaran transaksi pt kai persero tbbqx4	"
shopping,"bukti pembayaran transaksi pt kai persero mscs1s	"
shopping,"bukti pembayaran transaksi pt kai persero jz5rcf	"
shopping,"bukti pembayaran transaksi pt kai persero b3crtk	"
shopping,"bukti pembayaran transaksi pt kai persero vhqe5f	"
shopping,"pegipegicom batas waktu pembayaran 2016	"
shopping,"bukti pembayaran transaksi pt kai persero jxvzqv	"
shopping,"bukti pembayaran transaksi pt kai persero 2fx2ll	"
shopping,"bukti pembayaran transaksi pt kai persero mlypqh	"
shopping,"bukti pembayaran transaksi pt kai persero 285ept	"
shopping,"konfirmasi pembayaran laptop	"
